Datum;Zeitzone;von;bis;Einheit;50Hertz (Positiv);Amprion (Positiv);TenneT TSO (Positiv);TransnetBW (Positiv);Deutschland (Positiv);50Hertz (Negativ);Amprion (Negativ);TenneT TSO (Negativ);TransnetBW (Negativ);Deutschland (Negativ)
01.09.2024;CEST;00:00;00:15;MW;0,096;0,000;0,000;0,000;0,096;4,364;0,000;0,148;1,096;5,608
01.09.2024;CEST;00:15;00:30;MW;0,000;0,000;0,000;0,000;0,000;10,052;0,000;0,804;3,684;14,540
01.09.2024;CEST;00:30;00:45;MW;0,000;0,000;0,000;0,000;0,000;53,048;0,308;2,860;21,400;77,616
01.09.2024;CEST;00:45;01:00;MW;0,000;0,000;0,000;0,000;0,000;118,184;8,104;8,488;199,888;334,664
01.09.2024;CEST;01:00;01:15;MW;0,000;0,000;0,000;0,000;0,000;41,140;3,884;3,596;54,452;103,072
01.09.2024;CEST;01:15;01:30;MW;0,000;0,000;0,000;0,000;0,000;67,368;5,240;4,452;55,296;132,356
01.09.2024;CEST;01:30;01:45;MW;0,000;0,000;0,000;0,000;0,000;35,104;4,848;2,520;18,436;60,908
01.09.2024;CEST;01:45;02:00;MW;0,000;0,000;0,000;0,000;0,000;22,564;5,848;2,668;56,240;87,320
01.09.2024;CEST;02:00;02:15;MW;4,740;4,388;2,428;19,052;30,608;4,852;1,704;0,576;28,380;35,512
01.09.2024;CEST;02:15;02:30;MW;0,628;0,000;0,032;4,360;5,020;0,000;0,000;0,000;0,000;0,000
01.09.2024;CEST;02:30;02:45;MW;0,000;0,000;0,000;0,000;0,000;0,320;0,000;0,480;0,004;0,804
01.09.2024;CEST;02:45;03:00;MW;0,000;0,000;0,000;0,000;0,000;12,712;2,008;5,640;31,368;51,728
01.09.2024;CEST;03:00;03:15;MW;0,000;0,000;0,000;0,000;0,000;9,108;2,336;2,244;28,796;42,484
01.09.2024;CEST;03:15;03:30;MW;0,000;0,000;0,000;0,000;0,000;30,784;8,576;7,280;241,240;287,880
01.09.2024;CEST;03:30;03:45;MW;0,000;0,000;0,000;0,000;0,000;11,780;3,200;2,216;17,904;35,100
01.09.2024;CEST;03:45;04:00;MW;0,000;0,000;0,000;0,000;0,000;9,016;6,880;1,456;10,740;28,092
01.09.2024;CEST;04:00;04:15;MW;0,000;0,000;0,000;0,000;0,000;0,516;2,096;0,544;14,548;17,704
01.09.2024;CEST;04:15;04:30;MW;0,000;0,000;0,000;0,000;0,000;0,000;6,468;3,600;51,488;61,556
01.09.2024;CEST;04:30;04:45;MW;0,252;0,000;1,076;0,000;1,328;0,048;0,344;0,228;4,024;4,644
01.09.2024;CEST;04:45;05:00;MW;0,296;0,000;0,396;0,000;0,692;0,000;0,000;0,000;0,000;0,000
01.09.2024;CEST;05:00;05:15;MW;3,704;0,000;0,692;0,016;4,412;0,012;0,040;0,000;0,936;0,988
01.09.2024;CEST;05:15;05:30;MW;0,392;0,000;0,448;0,112;0,952;0,000;0,028;0,000;0,348;0,376
01.09.2024;CEST;05:30;05:45;MW;1,380;0,000;1,328;0,000;2,708;0,316;0,080;0,140;0,712;1,248
01.09.2024;CEST;05:45;06:00;MW;0,904;0,284;0,124;0,000;1,312;0,044;0,000;0,072;0,000;0,116
01.09.2024;CEST;06:00;06:15;MW;1,616;0,440;0,344;0,164;2,564;0,000;0,000;0,000;0,000;0,000
01.09.2024;CEST;06:15;06:30;MW;0,000;0,000;0,008;0,004;0,012;0,056;0,000;0,092;0,000;0,148
01.09.2024;CEST;06:30;06:45;MW;0,000;0,000;0,000;0,004;0,004;0,708;0,116;0,216;3,784;4,824
01.09.2024;CEST;06:45;07:00;MW;0,000;0,000;0,000;0,000;0,000;0,900;0,028;0,292;0,296;1,516
01.09.2024;CEST;07:00;07:15;MW;19,328;5,292;22,104;9,304;56,028;0,000;0,000;0,000;0,000;0,000
01.09.2024;CEST;07:15;07:30;MW;27,132;9,544;20,796;26,592;84,064;0,000;0,000;0,000;0,000;0,000
01.09.2024;CEST;07:30;07:45;MW;2,156;4,672;3,988;2,368;13,184;0,000;0,000;0,000;0,000;0,000
01.09.2024;CEST;07:45;08:00;MW;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
01.09.2024;CEST;08:00;08:15;MW;0,000;0,000;0,000;0,000;0,000;0,788;0,184;0,272;0,336;1,580
01.09.2024;CEST;08:15;08:30;MW;3,000;4,728;19,248;14,664;41,640;0,000;0,000;0,040;0,000;0,040
01.09.2024;CEST;08:30;08:45;MW;0,288;0,056;0,424;0,128;0,896;0,000;0,000;0,000;0,000;0,000
01.09.2024;CEST;08:45;09:00;MW;9,896;8,296;8,092;40,304;66,588;0,000;0,000;0,000;0,000;0,000
01.09.2024;CEST;09:00;09:15;MW;18,792;0,756;9,100;10,804;39,452;0,000;0,000;0,000;0,000;0,000
01.09.2024;CEST;09:15;09:30;MW;12,092;0,208;13,204;34,676;60,180;0,000;0,000;0,008;0,000;0,008
01.09.2024;CEST;09:30;09:45;MW;0,000;0,000;0,000;0,000;0,000;4,632;1,620;2,232;33,628;42,112
01.09.2024;CEST;09:45;10:00;MW;0,036;0,000;0,000;0,000;0,036;0,492;0,848;1,148;15,556;18,044
01.09.2024;CEST;10:00;10:15;MW;0,428;1,160;0,368;2,156;4,112;0,808;0,288;0,276;3,248;4,620
01.09.2024;CEST;10:15;10:30;MW;4,536;4,288;8,852;34,876;52,552;0,312;0,208;0,236;0,336;1,092
01.09.2024;CEST;10:30;10:45;MW;0,000;0,000;0,000;0,000;0,000;7,044;5,304;3,352;175,484;191,184
