DELIVERY_DATE,TYPE_OF_RESERVES,PRODUCT,ENERGY_PRICE_[EUR/MWh],OFFERED_CAPACITY_[MW],ALLOCATED_CAPACITY_[MW],COUNTRY
2024-09-01,aFRR,NEG_001,-48.34,1,1,DE
2024-09-01,aFRR,NEG_001,-44.74,5,5,DE
2024-09-01,aFRR,NEG_001,-39.11,5,5,DE
2024-09-01,aFRR,NEG_001,-38.58,5,5,DE
2024-09-01,aFRR,NEG_001,-35.11,2,2,DE
2024-09-01,aFRR,NEG_001,-32.95,5,5,DE
2024-09-01,aFRR,NEG_001,-29.64,5,5,DE
2024-09-01,aFRR,NEG_001,-25.16,5,5,DE
2024-09-01,aFRR,NEG_001,-22.49,5,5,DE
2024-09-01,aFRR,NEG_001,-20.71,5,5,DE
2024-09-01,aFRR,NEG_001,-17.82,5,5,DE
2024-09-01,aFRR,NEG_001,-16.26,5,5,DE
2024-09-01,aFRR,NEG_001,-15.34,5,5,DE
2024-09-01,aFRR,NEG_001,-13.76,5,5,DE
2024-09-01,aFRR,NEG_001,-12.82,5,5,DE
2024-09-01,aFRR,NEG_001,-11.81,5,5,DE
2024-09-01,aFRR,NEG_001,-8.83,5,5,DE
2024-09-01,aFRR,NEG_001,-8.19,5,5,DE
2024-09-01,aFRR,NEG_001,-7.36,5,5,DE
2024-09-01,aFRR,NEG_001,-3.9,5,5,DE
2024-09-01,aFRR,NEG_001,-2.91,5,5,DE
2024-09-01,aFRR,NEG_001,-1.04,5,5,DE
2024-09-01,aFRR,NEG_001,-0.82,5,5,DE
2024-09-01,aFRR,NEG_001,0.0,3,3,DE
2024-09-01,aFRR,NEG_001,1.04,5,5,DE
2024-09-01,aFRR,NEG_001,1.55,5,5,DE
2024-09-01,aFRR,NEG_001,5.79,5,5,DE
2024-09-01,aFRR,NEG_001,5.97,5,5,DE
2024-09-01,aFRR,NEG_001,6.0,5,5,DE
2024-09-01,aFRR,NEG_001,6.11,5,5,DE
2024-09-01,aFRR,NEG_001,12.42,5,5,DE
2024-09-01,aFRR,NEG_001,19.04,5,5,DE
2024-09-01,aFRR,NEG_001,19.22,5,5,DE
2024-09-01,aFRR,NEG_001,25.1,5,5,DE
2024-09-01,aFRR,NEG_001,25.67,5,5,DE
2024-09-01,aFRR,NEG_001,29.64,5,5,DE
2024-09-01,aFRR,NEG_001,30.98,5,5,DE
2024-09-01,aFRR,NEG_001,32.17,5,5,DE
2024-09-01,aFRR,NEG_001,33.76,5,5,DE
2024-09-01,aFRR,NEG_001,36.85,5,5,DE
2024-09-01,aFRR,NEG_001,37.87,5,5,DE
2024-09-01,aFRR,NEG_001,41.99,5,5,DE
2024-09-01,aFRR,NEG_001,42.73,5,5,DE
2024-09-01,aFRR,NEG_001,45.31,5,5,DE
2024-09-01,aFRR,NEG_001,48.34,1,1,DE
