Datum;von;bis;50Hertz (Negativ)
2024-09-01;00:00;00:15;4,364
2024-09-01;00:15;00:30;10,052
2024-09-01;00:30;00:45;53,048
2024-09-01;00:45;01:00;118,184
2024-09-01;01:00;01:15;41,14
2024-09-01;01:15;01:30;67,368
2024-09-01;01:30;01:45;35,104
2024-09-01;01:45;02:00;22,564
2024-09-01;02:00;02:15;4,852
2024-09-01;02:15;02:30;0,0
2024-09-01;02:30;02:45;0,32
2024-09-01;02:45;03:00;12,712
2024-09-01;03:00;03:15;9,108
2024-09-01;03:15;03:30;30,784
2024-09-01;03:30;03:45;11,78
2024-09-01;03:45;04:00;9,016
2024-09-01;04:00;04:15;0,516
2024-09-01;04:15;04:30;0,0
2024-09-01;04:30;04:45;0,048
2024-09-01;04:45;05:00;0,0
2024-09-01;05:00;05:15;0,012
2024-09-01;05:15;05:30;0,0
2024-09-01;05:30;05:45;0,316
2024-09-01;05:45;06:00;0,044
2024-09-01;06:00;06:15;0,0
2024-09-01;06:15;06:30;0,056
2024-09-01;06:30;06:45;0,708
2024-09-01;06:45;07:00;0,9
2024-09-01;07:00;07:15;0,0
2024-09-01;07:15;07:30;0,0
2024-09-01;07:30;07:45;0,0
2024-09-01;07:45;08:00;0,0
2024-09-01;08:00;08:15;0,788
2024-09-01;08:15;08:30;0,0
2024-09-01;08:30;08:45;0,0
2024-09-01;08:45;09:00;0,0
2024-09-01;09:00;09:15;0,0
2024-09-01;09:15;09:30;0,0
2024-09-01;09:30;09:45;4,632
2024-09-01;09:45;10:00;0,492
2024-09-01;10:00;10:15;0,808
2024-09-01;10:15;10:30;0,312
2024-09-01;10:30;10:45;7,044
2024-09-01;10:45;11:00;3,38
2024-09-01;11:00;11:15;6,76
2024-09-01;11:15;11:30;7,68
2024-09-01;11:30;11:45;6,896
2024-09-01;11:45;12:00;5,416
2024-09-01;12:00;12:15;16,064
2024-09-01;12:15;12:30;14,772
2024-09-01;12:30;12:45;10,9
2024-09-01;12:45;13:00;13,888
2024-09-01;13:00;13:15;10,776
2024-09-01;13:15;13:30;10,12
2024-09-01;13:30;13:45;8,116
2024-09-01;13:45;14:00;8,544
2024-09-01;14:00;14:15;7,268
2024-09-01;14:15;14:30;7,496
2024-09-01;14:30;14:45;5,676
2024-09-01;14:45;15:00;3,964
2024-09-01;15:00;15:15;2,924
2024-09-01;15:15;15:30;4,504
2024-09-01;15:30;15:45;7,076
2024-09-01;15:45;16:00;4,34
2024-09-01;16:00;16:15;39,524
2024-09-01;16:15;16:30;40,76
2024-09-01;16:30;16:45;16,404
2024-09-01;16:45;17:00;28,124
